city,country,hiking_score,beach_score,cultural_sites_score,nightlife_score,family_friendly_score,luxury_infrastructure_score,avg_accom_cost,avg_daily_expense,safety_score,remoteness_score,label
Tirana,Albania,5,5,5,5,4,3,25,12,6,5,Budget
Yogyakarta,Indonesia,3,3,7,3,5,3,12,8,6,5,Budget
Maputo,Mozambique,3,5,4,4,3,2,18,10,4,7,Budget
Quito,Ecuador,5,2,7,4,4,3,25,12,6,5,Budget
Medellín,Colombia,4,2,5,7,4,4,25,14,5,4,Budget
Belgrade,Serbia,3,2,6,8,4,3,28,14,7,4,Budget
Bishkek,Kyrgyzstan,6,1,4,3,3,1,12,8,6,8,Budget
Tunis,Tunisia,3,5,7,3,4,3,22,10,5,5,Budget
Managua,Nicaragua,3,4,4,4,3,2,15,8,4,6,Budget
Cochabamba,Bolivia,4,1,5,3,3,2,12,8,5,7,Budget
Lviv,Ukraine,3,1,7,5,4,3,18,10,5,5,Budget
Dubai,UAE,2,7,4,7,7,10,200,80,9,3,Luxury
Monaco,Monaco,2,6,5,7,3,10,350,120,9,2,Luxury
St. Moritz,Switzerland,7,1,3,4,4,10,400,100,9,6,Luxury
Bora Bora,French Polynesia,3,10,1,2,3,10,500,100,8,9,Luxury
Aspen,USA,8,1,2,5,5,10,300,90,9,6,Luxury
Mykonos,Greece,2,7,4,9,3,8,200,70,8,5,Luxury
Courchevel,France,8,1,2,5,4,10,350,90,9,6,Luxury
Marbella,Spain,2,7,4,7,5,9,180,65,8,3,Luxury
Capri,Italy,3,7,5,4,3,9,250,80,9,5,Luxury
St. Barts,Saint Barthélemy,2,9,2,5,3,10,400,100,9,7,Luxury
Lake Como,Italy,4,4,5,3,4,9,220,70,9,5,Luxury
Zermatt,Switzerland,8,1,3,3,4,9,280,85,9,6,Luxury
Whistler,Canada,8,1,2,5,6,8,200,70,9,5,Luxury
Doha,Qatar,1,4,5,3,6,9,180,60,9,3,Luxury
Cannes,France,2,7,5,6,4,9,200,70,8,3,Luxury
Beverly Hills,USA,2,5,4,7,4,10,350,100,8,2,Luxury
Macao,China,1,3,5,7,5,9,150,60,8,3,Luxury
Lucerne,Switzerland,6,2,6,3,6,8,200,70,9,4,Luxury
Napa Valley,USA,4,1,3,3,3,9,250,80,9,5,Luxury
Positano,Italy,3,6,5,3,3,9,250,75,8,5,Luxury
Gstaad,Switzerland,7,1,2,3,4,10,400,95,9,7,Luxury
Saint-Tropez,France,2,8,3,7,3,10,300,90,8,5,Luxury
Orlando,USA,3,5,3,5,10,6,120,60,8,2,Family
Copenhagen,Denmark,3,2,7,5,9,7,150,60,9,3,Family
Singapore,Singapore,2,4,6,6,9,8,140,50,9,2,Family
Gold Coast,Australia,4,8,3,5,9,6,100,45,9,3,Family
San Diego,USA,4,7,5,5,9,6,140,55,9,3,Family
Tokyo,Japan,3,3,8,6,8,8,120,50,9,2,Family
Lisbon,Portugal,4,5,8,7,7,6,80,35,7,3,Family
Vienna,Austria,3,1,9,5,8,7,110,45,9,3,Family
Osaka,Japan,3,3,7,6,9,7,90,40,9,3,Family
Amsterdam,Netherlands,3,2,8,8,6,7,130,50,8,2,Culture
London,England,3,2,9,8,7,9,180,65,7,1,Culture
Paris,France,3,2,10,7,7,9,160,60,7,1,Culture
Sydney,Australia,5,7,6,7,8,7,140,55,9,3,Family
Vancouver,Canada,6,4,5,5,8,7,130,50,9,3,Family
Algarve,Portugal,4,8,4,4,8,5,70,30,8,4,Family
Lanzarote,Spain,4,7,3,4,8,5,65,30,8,4,Family
Salzburg,Austria,5,1,8,4,8,6,100,40,9,4,Family
Dublin,Ireland,3,2,7,8,6,6,110,50,8,3,Family
Costa Brava,Spain,3,7,4,4,8,5,70,30,8,3,Family
Penang,Malaysia,3,5,6,4,7,4,30,15,7,4,Family
Rovaniemi,Finland,4,1,3,2,9,5,100,45,9,7,Family
Hawaii Big Island,USA,7,8,4,3,7,7,180,65,9,6,Family
Cancún,Mexico,3,8,4,7,7,7,100,40,7,3,Family
Crete,Greece,5,8,7,4,7,5,60,30,8,4,Family
Muscat,Oman,3,5,6,2,6,7,80,35,8,5,Family
Nice,France,3,7,6,5,6,8,140,55,8,3,Relaxation
Bermuda,Bermuda,3,8,3,4,6,8,200,70,8,7,Relaxation
Aruba,Aruba,2,9,2,5,7,7,180,55,8,6,Relaxation
Lake Garda,Italy,5,5,5,3,7,6,90,40,9,4,Family
Ghent,Belgium,2,1,8,4,6,5,85,38,9,4,Culture
Bangkok,Thailand,2,3,7,8,5,5,30,15,6,2,Budget
Mexico City,Mexico,3,2,9,7,5,5,45,20,6,3,Culture
Lima,Peru,3,3,7,6,4,4,35,18,5,3,Budget
Nairobi,Kenya,4,2,4,4,3,4,35,18,5,5,Budget
Luang Namtha,Laos,7,1,5,1,3,1,10,6,6,9,Budget
Essaouira,Morocco,3,6,6,3,4,3,28,14,6,6,Budget
Tallinn,Estonia,3,2,7,5,5,4,45,22,8,4,Culture
Riga,Latvia,3,2,6,6,4,4,35,18,8,4,Budget
Split,Croatia,4,7,7,6,5,5,70,30,8,4,Culture
Cartagena,Colombia,3,6,7,6,4,5,40,20,5,5,Culture
Udaipur,India,2,1,8,2,4,5,30,12,6,6,Culture
Lofoten Islands,Norway,8,3,2,1,3,4,120,55,9,9,Adventure
Faroe Islands,Denmark,7,2,2,1,3,3,130,55,9,10,Adventure
Azores,Portugal,7,5,4,2,5,4,60,28,9,8,Adventure
Uyuni,Bolivia,6,1,3,1,2,1,15,8,5,10,Adventure
Cappadocia,Turkey,5,1,8,3,5,5,50,22,7,6,Culture
Jeju Island,South Korea,6,6,5,3,7,5,70,30,9,5,Family
Playa del Carmen,Mexico,3,8,3,7,5,6,80,30,6,4,Relaxation
Da Nang,Vietnam,3,7,4,4,5,4,20,10,7,5,Budget
Lombok,Indonesia,5,8,3,3,4,4,25,12,6,7,Relaxation
Chefchaouen,Morocco,5,1,6,1,3,2,18,10,6,8,Budget
Wadi Rum,Jordan,7,1,5,1,3,3,40,20,7,9,Adventure
Lake Titicaca,Peru,6,1,6,1,3,1,15,8,5,9,Adventure
Mont Blanc Region,France,9,1,3,3,4,6,130,50,9,6,Adventure
Scottish Highlands,Scotland,8,2,5,2,4,5,90,40,8,8,Adventure
Cinque Terre,Italy,5,5,7,3,4,6,110,45,8,5,Culture
Bergen,Norway,6,2,6,4,5,5,140,55,9,5,Adventure
Abu Dhabi,UAE,2,6,5,5,8,10,180,65,9,3,Luxury
Cabo San Lucas,Mexico,4,8,2,7,5,8,180,60,7,5,Luxury
Punta Cana,Dominican Republic,2,9,2,5,7,7,120,40,7,5,Relaxation
Hvar,Croatia,3,7,4,6,3,7,130,45,8,6,Relaxation
Porto,Portugal,4,4,8,6,5,5,65,30,8,3,Culture
Seville,Spain,3,3,9,7,5,5,70,30,7,3,Culture
Granada,Spain,4,3,9,6,5,5,60,28,7,3,Culture
Krabi,Thailand,5,8,3,4,5,5,30,15,7,6,Relaxation
Malta,Malta,3,6,8,5,6,5,70,30,8,4,Culture
Bhutan,Bhutan,8,1,7,1,3,4,200,50,8,10,Adventure
Tasmania,Australia,8,5,4,3,6,5,90,40,9,7,Adventure
Galápagos Islands,Ecuador,7,6,3,1,5,5,150,60,8,10,Adventure
Lapland,Finland,6,1,3,1,8,5,120,50,9,9,Family
Swiss Alps,Switzerland,9,1,3,3,6,9,250,80,9,5,Luxury
French Riviera,France,3,7,5,6,4,9,220,75,8,3,Luxury
Kotor,Montenegro,6,5,7,4,4,4,40,20,8,5,Culture
Windhoek,Namibia,6,2,4,3,3,3,35,18,5,8,Adventure
Accra,Ghana,3,4,5,5,4,3,22,10,6,5,Budget
Montevideo,Uruguay,2,5,6,5,6,5,40,22,7,4,Family
Punta del Este,Uruguay,2,7,3,6,4,8,180,65,8,5,Luxury
Dar es Salaam,Tanzania,3,5,4,4,3,3,20,10,5,6,Budget
Busan,South Korea,5,6,6,5,7,5,55,25,9,3,Family
Aswan,Egypt,3,2,9,2,4,4,20,10,6,6,Culture
Palm Springs,USA,5,2,3,4,4,8,200,65,9,4,Luxury
Beirut,Lebanon,3,5,8,8,4,5,70,30,4,3,Culture
Marmaris,Turkey,3,8,4,6,5,5,40,20,7,4,Relaxation
Gaziantep,Turkey,2,1,7,3,4,2,20,10,6,5,Budget
Innsbruck,Austria,8,1,6,5,5,6,110,45,9,5,Adventure
Bled Region,Slovenia,8,3,5,3,5,5,75,32,9,6,Adventure
Alpe d'Huez,France,8,1,2,3,4,6,120,50,9,6,Adventure
Mount Cook,New Zealand,9,1,2,1,3,4,90,40,9,9,Adventure
Wanaka,New Zealand,8,3,2,3,5,5,100,45,9,7,Adventure
Nelson,New Zealand,7,5,3,3,5,4,80,35,9,6,Adventure
Grindelwald,Switzerland,9,1,3,2,5,7,170,60,9,6,Adventure
Verbier,Switzerland,8,1,2,5,4,8,180,65,9,6,Adventure
Mestia,Georgia,8,1,4,1,2,1,15,8,5,10,Adventure
Kazbegi,Georgia,9,1,3,1,2,1,18,10,6,9,Adventure
Bariloche,Argentina,8,3,3,4,5,5,50,25,8,7,Adventure
El Chaltén,Argentina,10,1,1,1,1,2,45,25,7,10,Adventure
Mendoza,Argentina,6,1,5,5,4,5,40,22,7,5,Adventure
Tignes,France,8,1,2,4,4,6,130,50,9,6,Adventure
Val d'Isère,France,8,1,2,5,4,8,170,60,9,6,Adventure
Zell am See,Austria,7,3,4,3,6,6,100,42,9,5,Adventure
Pai,Thailand,6,1,4,4,3,2,10,6,6,8,Adventure
Ella,Sri Lanka,7,2,4,2,3,2,12,7,6,7,Adventure
Kodaikanal,India,7,1,3,1,3,2,15,8,5,7,Adventure
Munnar,India,7,1,3,1,4,3,18,8,6,7,Adventure
Ooty,India,6,1,3,2,5,3,15,8,6,6,Adventure
McLeod Ganj,India,7,1,5,2,3,2,10,6,5,8,Adventure
Bovec,Slovenia,8,1,3,2,3,3,55,25,9,7,Adventure
Valbona,Albania,8,1,2,1,2,1,12,6,6,9,Adventure
Theth,Albania,9,1,2,1,1,1,10,5,6,10,Adventure
Durmitor,Montenegro,8,1,3,2,2,2,25,12,7,8,Adventure
Kaçkar Mountains,Turkey,8,1,3,1,2,1,15,8,6,9,Adventure
Muğla,Turkey,5,6,4,4,4,4,30,15,7,5,Adventure
Olympos,Turkey,6,6,5,3,3,2,15,8,7,7,Adventure
Jericoacoara,Brazil,5,8,2,5,3,3,30,15,6,8,Adventure
Huacachina,Peru,6,1,2,3,3,2,15,8,5,8,Adventure
Cabanaconde,Peru,8,1,3,1,2,1,10,5,5,10,Adventure
Baños,Ecuador,7,1,3,4,4,3,20,10,6,6,Adventure
Mindo,Ecuador,7,1,2,2,4,2,18,10,6,8,Adventure
Rurrenabaque,Bolivia,7,1,2,1,2,1,10,6,4,10,Adventure
Sucre,Bolivia,4,1,7,3,3,2,12,7,5,7,Culture
Mount Olympus Region,Greece,8,3,5,2,3,3,50,22,8,6,Adventure
Zagori,Greece,7,1,4,1,3,2,40,18,8,8,Adventure
Sinaia,Romania,7,1,5,2,4,4,35,16,8,5,Adventure
Braşov,Romania,6,1,6,4,4,4,32,15,8,5,Adventure
Tatras Region,Slovakia,8,1,3,2,4,3,30,14,8,6,Adventure
Rila Mountains,Bulgaria,8,1,3,1,3,2,18,10,8,7,Adventure
Białka Tatrzańska,Poland,7,1,2,3,5,3,28,14,8,5,Adventure
Zakopane,Poland,7,1,3,4,5,4,30,15,8,5,Adventure
Trolltunga Region,Norway,9,1,2,1,2,3,140,55,9,8,Adventure
Narvik,Norway,7,1,2,2,3,3,120,50,9,8,Adventure
Abisko,Sweden,7,1,2,1,2,3,110,50,9,9,Adventure
Kiruna,Sweden,6,1,3,2,4,3,100,45,9,8,Adventure
Kangerlussuaq,Greenland,7,1,2,1,1,1,150,60,8,10,Adventure
Ilulissat,Greenland,6,1,2,1,2,2,180,70,8,10,Adventure
Denali Region,USA,9,1,2,1,3,3,120,50,9,9,Adventure
Sedona,USA,7,1,3,3,5,6,140,50,9,5,Adventure
Bend,USA,7,2,2,4,5,4,100,40,9,5,Adventure
Ouray,USA,8,1,2,2,3,3,90,35,9,7,Adventure
Kenai Peninsula,USA,8,2,2,2,4,4,110,45,9,8,Adventure
Juneau,USA,7,2,3,3,4,4,130,55,9,8,Adventure
Jasper,Canada,8,1,2,2,5,4,100,40,9,8,Adventure
Lake Louise,Canada,8,1,2,2,5,6,160,55,9,7,Adventure
Tofino,Canada,6,6,2,3,4,5,120,45,9,7,Adventure
Cape Wrath,Scotland,7,3,2,1,2,2,70,30,8,10,Adventure
Fort William,Scotland,8,2,3,3,4,3,70,30,8,7,Adventure
Snowdonia,Wales,8,2,3,2,4,3,60,28,8,6,Adventure
Ring of Kerry,Ireland,6,4,5,3,5,5,80,35,8,6,Adventure
Connemara,Ireland,7,3,4,2,4,3,65,30,8,7,Adventure
Cotopaxi Region,Ecuador,8,1,3,1,2,2,20,10,5,8,Adventure
Vilcabamba,Ecuador,6,1,3,1,3,2,12,6,5,9,Adventure
Salento,Colombia,7,1,4,3,3,2,15,8,5,7,Adventure
Ciudad Perdida Region,Colombia,9,1,3,1,1,1,15,8,4,10,Adventure
Sagada,Philippines,7,1,4,1,3,1,8,5,5,9,Adventure
Banaue,Philippines,7,1,5,1,3,1,8,5,5,9,Adventure
Cameron Highlands,Malaysia,6,1,3,2,5,3,20,10,7,6,Adventure
Kinabalu Region,Malaysia,8,2,3,2,4,3,25,12,7,7,Adventure
Nong Khiaw,Laos,7,1,3,1,2,1,8,5,6,9,Adventure
Phongsali,Laos,6,1,3,1,2,1,6,4,5,10,Adventure
Arugam Bay,Sri Lanka,4,7,2,4,3,2,12,7,6,7,Relaxation
Mirissa,Sri Lanka,3,8,2,4,3,3,15,8,6,6,Relaxation
Unawatuna,Sri Lanka,3,8,3,5,4,3,18,10,6,5,Relaxation
El Nido,Philippines,4,9,2,3,3,4,30,14,6,8,Relaxation
Port Barton,Philippines,3,8,1,1,3,2,12,6,6,9,Relaxation
Koh Lanta,Thailand,3,8,2,3,4,4,25,12,7,6,Relaxation
Koh Phangan,Thailand,3,8,2,7,3,4,22,12,6,6,Relaxation
Koh Tao,Thailand,3,7,1,5,3,3,18,10,6,6,Relaxation
Railay Beach,Thailand,4,9,1,3,3,4,30,14,7,7,Relaxation
Tioman Island,Malaysia,3,8,1,2,3,2,20,10,7,8,Relaxation
Gili Islands,Indonesia,3,8,1,5,3,3,20,10,6,7,Relaxation
Nusa Penida,Indonesia,4,8,2,2,3,3,18,8,6,7,Relaxation
Kuta Bali,Indonesia,3,7,3,8,4,5,30,15,6,3,Relaxation
Candidasa,Indonesia,3,6,4,2,3,3,20,10,7,6,Relaxation
Amed,Indonesia,4,7,3,2,3,2,15,8,6,7,Relaxation
Siquijor,Philippines,3,7,2,2,3,2,10,5,6,8,Relaxation
Panglao,Philippines,3,8,2,3,4,4,18,8,6,6,Relaxation
Coron,Philippines,4,8,2,3,3,3,20,10,6,8,Relaxation
Phi Phi Islands,Thailand,3,8,2,6,3,4,30,15,6,6,Relaxation
Ao Nang,Thailand,3,7,2,5,4,4,22,12,7,5,Relaxation
Hua Hin,Thailand,3,7,3,4,6,5,35,16,7,4,Relaxation
Negril,Jamaica,3,8,2,6,4,5,60,25,5,5,Relaxation
Montego Bay,Jamaica,3,7,3,6,5,6,80,30,5,4,Relaxation
Ocho Rios,Jamaica,4,7,3,5,5,5,70,28,5,5,Relaxation
Barbados,Barbados,3,8,4,5,6,7,100,40,8,5,Relaxation
Grenada,Grenada,4,8,3,3,5,5,70,28,7,7,Relaxation
Dominica,Dominica,6,6,3,2,4,3,55,22,7,8,Adventure
Tobago,Trinidad and Tobago,3,8,3,4,5,4,55,22,6,7,Relaxation
Curaçao,Curaçao,3,7,4,5,5,5,80,30,7,5,Relaxation
Bonaire,Bonaire,3,7,2,2,4,4,80,30,8,7,Relaxation
Roatán,Honduras,4,8,2,4,4,4,45,18,5,7,Relaxation
Placencia,Belize,3,7,2,3,4,4,55,25,6,7,Relaxation
San Pedro,Belize,3,8,2,5,4,4,60,28,6,6,Relaxation
Holbox,Mexico,3,8,2,4,4,3,50,22,6,7,Relaxation
Puerto Escondido,Mexico,4,8,2,5,3,3,25,12,5,6,Relaxation
Sayulita,Mexico,3,7,2,5,4,4,45,20,6,5,Relaxation
Trancoso,Brazil,3,8,3,4,3,6,80,30,5,7,Relaxation
Fernando de Noronha,Brazil,4,9,2,2,4,5,120,45,7,9,Relaxation
Máncora,Peru,3,7,2,4,3,3,20,10,5,7,Relaxation
Taghazout,Morocco,4,7,2,2,3,2,18,8,6,6,Relaxation
Diani Beach,Kenya,3,8,3,3,4,5,50,20,5,6,Relaxation
Tofo,Mozambique,3,8,2,2,3,2,18,8,4,8,Relaxation
Vilankulo,Mozambique,3,7,2,1,3,3,25,10,4,9,Relaxation
Praslin,Seychelles,3,9,2,2,4,8,200,65,8,8,Relaxation
Lefkada,Greece,4,8,3,3,4,3,50,22,8,5,Relaxation
Corfu,Greece,4,7,5,5,6,5,60,28,8,4,Relaxation
Kefalonia,Greece,4,8,4,3,5,4,55,25,8,5,Relaxation
Milos,Greece,3,8,4,3,3,4,65,28,8,6,Relaxation
Sardinia,Italy,5,8,5,4,6,6,80,35,8,5,Relaxation
Menorca,Spain,3,8,4,3,7,5,70,30,9,5,Relaxation
Fuerteventura,Spain,3,8,2,3,6,4,55,25,8,5,Relaxation
Alentejo Coast,Portugal,4,7,4,2,4,4,50,22,8,6,Relaxation
Comporta,Portugal,3,7,2,2,3,5,80,30,8,7,Relaxation
Halkidiki,Greece,4,8,4,4,6,5,55,25,8,4,Relaxation
Bodrum,Turkey,3,7,4,6,4,6,60,25,7,4,Relaxation
Antalya,Turkey,4,8,5,5,6,6,40,18,7,3,Relaxation
Ölüdeniz,Turkey,5,8,3,4,4,4,30,14,7,5,Relaxation
Kaş,Turkey,5,7,4,3,4,4,28,14,7,6,Relaxation
Datça,Turkey,4,7,4,2,3,3,25,12,7,7,Relaxation
Alaçatı,Turkey,3,6,3,5,4,6,60,25,7,5,Relaxation
Side,Turkey,3,7,5,4,6,5,35,16,7,4,Relaxation
Siena,Italy,4,1,9,4,5,6,95,40,8,4,Culture
Ravenna,Italy,2,3,8,3,5,4,65,30,8,4,Culture
Bologna,Italy,3,2,8,6,5,5,80,35,8,3,Culture
Lecce,Italy,3,4,8,4,4,4,55,25,8,5,Culture
Palermo,Italy,3,4,8,6,4,4,50,22,7,4,Culture
Naples,Italy,3,3,9,6,4,4,55,25,6,3,Culture
Verona,Italy,3,2,8,5,5,6,90,38,8,3,Culture
Turin,Italy,3,1,8,5,5,5,70,32,8,3,Culture
Toledo,Spain,3,1,9,3,5,4,55,25,8,4,Culture
Salamanca,Spain,2,1,8,5,4,4,45,22,8,4,Culture
Santiago de Compostela,Spain,4,2,8,4,4,4,50,24,8,5,Culture
Córdoba,Spain,3,1,9,4,5,4,48,22,7,4,Culture
Segovia,Spain,3,1,8,3,5,4,50,24,8,4,Culture
Girona,Spain,3,3,8,4,5,5,70,30,8,4,Culture
San Sebastián,Spain,4,6,7,6,5,7,120,50,8,4,Culture
Braga,Portugal,3,2,8,4,5,4,40,20,8,4,Culture
Coimbra,Portugal,3,2,8,4,4,4,38,18,8,4,Culture
Sintra,Portugal,4,3,9,2,5,5,65,28,8,4,Culture
Thessaloniki,Greece,3,4,8,7,5,5,55,25,7,3,Culture
Nafplio,Greece,4,4,8,3,5,5,60,28,8,5,Culture
Mostar,Bosnia,5,1,8,3,3,3,22,10,6,6,Culture
Sarajevo,Bosnia,4,1,8,5,4,3,25,12,6,5,Culture
Ljubljana,Slovenia,5,1,7,5,6,5,60,28,8,4,Culture
Český Krumlov,Czech Republic,3,1,9,3,4,4,50,22,8,5,Culture
Budapest,Hungary,4,2,9,8,5,6,55,25,7,3,Culture
Gdańsk,Poland,3,3,8,5,5,4,35,18,8,4,Culture
Wrocław,Poland,3,1,7,5,5,4,30,16,8,4,Culture
Vilnius,Lithuania,3,1,7,5,4,4,32,16,8,4,Culture
Kamakura,Japan,4,3,9,2,6,5,80,35,9,4,Culture
Nara,Japan,4,1,9,2,7,5,75,35,9,4,Culture
Kanazawa,Japan,3,2,8,4,5,5,80,38,9,5,Culture
Takayama,Japan,5,1,8,2,5,5,80,35,9,6,Culture
Nikko,Japan,6,1,8,2,5,4,70,32,9,5,Culture
Gyeongju,South Korea,4,3,9,2,5,4,40,20,9,5,Culture
Hue,Vietnam,3,4,9,3,4,3,15,8,6,5,Culture
Hampi,India,4,1,9,1,3,2,8,5,5,7,Culture
Jodhpur,India,3,1,8,2,4,4,20,10,6,5,Culture
Amritsar,India,2,1,8,2,4,3,15,8,6,5,Culture
Pushkar,India,3,1,7,2,3,2,10,6,5,6,Culture
Madurai,India,2,1,8,2,4,3,12,6,6,5,Culture
Kandy,Sri Lanka,4,2,7,3,5,4,20,10,6,5,Culture
Galle,Sri Lanka,3,5,7,3,4,4,25,12,6,5,Culture
Meknes,Morocco,3,1,8,2,3,3,20,10,6,6,Culture
Volubilis Region,Morocco,3,1,9,1,3,2,18,8,6,7,Culture
Stone Town,Tanzania,3,5,8,3,3,3,35,15,5,6,Culture
Lalibela,Ethiopia,4,1,9,1,2,2,15,8,4,9,Culture
Axum,Ethiopia,3,1,9,1,2,2,12,6,4,9,Culture
Lamu,Kenya,3,6,7,2,3,3,30,14,5,8,Culture
Saint-Louis,Senegal,2,4,7,3,3,2,18,10,5,7,Culture
